unit,DeepSurv_p1,DeepSurv_p2,DeepBranched_p1,DeepBranched_p2,NN_joint_ideal_p1,NN_joint_ideal_p2,NN_joint_mis_p1,NN_joint_mis_p2,CMGP_Cox_p1,CMGP_Cox_p2,Actual_Failure_Mode
51,0.85,0.15,0.9999857,1.43075495e-05,0.85,0.15,0.85,0.15,0.9952660202980042,0.0047340346500277,1.0
52,0.65,0.35,0.99999917,8.8726654e-07,0.6,0.4,0.6,0.4,0.9913265705108644,0.0086734034121036,1.0
53,0.75,0.25,0.94796354,0.052036513,0.85,0.15,0.85,0.15,0.9998742938041688,0.0001256965770153,1.0
54,0.05,0.95,0.099655926,0.900344,0.2,0.8,0.2,0.8,0.999884307384491,0.0001156671496573,1.0
55,0.3,0.7,0.31567883,0.6843211,0.45,0.55,0.45,0.55,0.7462199330329895,0.2537800967693329,1.0
56,0.4,0.6,0.018692851,0.98130715,0.5,0.5,0.5,0.5,0.9826982021331788,0.0173018276691436,1.0
57,0.35,0.65,0.99512535,0.004874617,0.6,0.4,0.6,0.4,0.9995412230491638,0.0004587761650327,1.0
58,0.8,0.2,0.99999726,2.698504e-06,0.75,0.25,0.75,0.25,0.9993478655815125,0.0006521674804389,1.0
59,1.0,0.0,0.9996451,0.0003548804,0.95,0.05,0.95,0.05,0.9999396204948424,6.0408448916859925e-05,1.0
60,0.85,0.15,0.99996924,3.070155e-05,0.8,0.2,0.8,0.2,0.9999917149543762,8.282694579975214e-06,1.0
111,0.0,1.0,9.358733e-06,0.9999906,0.05,0.95,0.05,0.95,0.0182244461029768,0.9817755818367004,2.0
112,0.35,0.65,0.00022381252,0.9997762,0.6,0.4,0.6,0.4,0.4045809209346771,0.5954190492630005,2.0
113,0.55,0.45,0.0020037529,0.9979963,0.6,0.4,0.6,0.4,0.1462872326374054,0.853712797164917,2.0
114,0.0,1.0,1.5305148e-05,0.99998474,0.1,0.9,0.1,0.9,0.0072940485551953,0.9927060008049012,2.0
115,0.65,0.35,0.0029203366,0.9970797,0.65,0.35,0.65,0.35,0.009615546092391,0.9903843998908995,2.0
116,0.05,0.95,8.351414e-06,0.99999166,0.15,0.85,0.15,0.85,0.0075879781506955,0.9924120306968688,2.0
117,0.1,0.9,7.33475e-06,0.9999926,0.15,0.85,0.15,0.85,3.1364816095447168e-06,0.9999969005584716,2.0
118,0.15,0.85,2.7130267e-05,0.9999728,0.15,0.85,0.15,0.85,0.1520826667547226,0.847917377948761,2.0
119,0.05,0.95,0.00016247701,0.9998375,0.2,0.8,0.2,0.8,0.0023944790009409,0.9976055026054382,2.0
120,0.25,0.75,5.4936945e-06,0.9999945,0.25,0.75,0.25,0.75,0.0021716693881899,0.9978283643722534,2.0
