unit,DeepSurv_p1,DeepSurv_p2,DeepBranched_p1,DeepBranched_p2,NN_joint_ideal_p1,NN_joint_ideal_p2,NN_joint_mis_p1,NN_joint_mis_p2,CMGP_Cox_p1,CMGP_Cox_p2,Actual_Failure_Mode
51,0.94,0.06,0.99999917,7.7654613e-07,0.94,0.06,0.94,0.06,1.0,3.363116314379561e-44,1.0
52,0.86,0.14,0.9999999,6.482658e-08,0.84,0.16,0.84,0.16,1.0,0.0,1.0
53,0.8529411764705882,0.1470588235294117,0.9999995,4.809461e-07,0.9117647058823528,0.088235294117647,0.9117647058823528,0.088235294117647,1.0,4.698142985759546e-10,1.0
54,0.1,0.9,0.9899368,0.010063156,0.18,0.82,0.18,0.82,1.0,6.680407529241483e-12,1.0
55,0.7,0.3,0.9999993,7.270349e-07,0.76,0.24,0.76,0.24,1.0,7.311651285422234e-27,1.0
56,0.72,0.28,1.0,3.3141145e-08,0.76,0.24,0.76,0.24,1.0,6.541395106046178e-16,1.0
57,0.74,0.26,1.0,2.7929955e-08,0.84,0.16,0.84,0.16,1.0,2.326689310943789e-26,1.0
58,0.92,0.08,0.99999917,8.2831457e-07,0.9,0.1,0.9,0.1,1.0,1.044836537423658e-32,1.0
59,1.0,0.0,0.9999937,6.2801505e-06,0.98,0.02,0.98,0.02,1.0,0.0,1.0
60,0.94,0.06,1.0,4.0423398e-08,0.92,0.08,0.92,0.08,1.0,0.0,1.0
111,0.0,1.0,9.272577e-06,0.9999907,0.02,0.98,0.02,0.98,0.0,1.0,2.0
112,0.3,0.7,1.664991e-05,0.9999833,0.4,0.6,0.4,0.6,0.0,1.0,2.0
113,0.2619047619047619,0.7380952380952381,1.4252897e-06,0.99999857,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,2.0545887009646684e-23,1.0,2.0
114,0.0,1.0,1.533991e-05,0.9999846,0.04,0.96,0.04,0.96,1.9618178500547441e-44,1.0,2.0
115,0.3,0.7,1.66345e-05,0.9999833,0.32,0.68,0.32,0.68,0.0,1.0,2.0
116,0.02,0.98,1.2427912e-05,0.9999876,0.06,0.94,0.06,0.94,0.0,1.0,2.0
117,0.04,0.96,1.5930269e-05,0.999984,0.06,0.94,0.06,0.94,0.0,1.0,2.0
118,0.06,0.94,2.57488e-05,0.99997425,0.08,0.92,0.08,0.92,0.0,1.0,2.0
119,0.02,0.98,4.616652e-05,0.99995387,0.08,0.92,0.08,0.92,0.0,1.0,2.0
120,0.12,0.88,1.0930239e-05,0.99998903,0.12,0.88,0.12,0.88,4.105804500471714e-43,1.0,2.0
