unit,DeepSurv_p1,DeepSurv_p2,DeepBranched_p1,DeepBranched_p2,NN_joint_ideal_p1,NN_joint_ideal_p2,NN_joint_mis_p1,NN_joint_mis_p2,CMGP_Cox_p1,CMGP_Cox_p2,Actual_Failure_Mode
51,0.7,0.3,0.78388155,0.21611845,0.7,0.3,0.7,0.3,0.8573546409606934,0.1426453590393066,1.0
52,0.4,0.6,0.0038011489,0.99619883,0.3,0.7,0.3,0.7,0.5888135433197021,0.4111864268779754,1.0
53,0.5,0.5,0.010374676,0.9896254,0.7,0.3,0.7,0.3,0.8210268020629883,0.1789731830358505,1.0
54,0.0,1.0,0.00026755885,0.99973243,0.2,0.8,0.2,0.8,0.9456883072853088,0.0543116815388202,1.0
55,0.2,0.8,0.0056498135,0.99435025,0.2,0.8,0.2,0.8,0.5038458108901978,0.4961541891098022,1.0
56,0.3,0.7,0.004485513,0.99551445,0.5,0.5,0.5,0.5,0.5948598980903625,0.4051401019096374,1.0
57,0.1,0.9,0.0039394638,0.99606055,0.4,0.6,0.4,0.6,0.8957067131996155,0.1042932420969009,1.0
58,0.6,0.4,0.06381548,0.93618447,0.5,0.5,0.5,0.5,0.6630024909973145,0.3369975090026855,1.0
59,1.0,0.0,0.9839302,0.016069856,0.9,0.1,0.9,0.1,0.7644410729408264,0.2355589270591735,1.0
60,0.7,0.3,0.27870014,0.7212998,0.6,0.4,0.6,0.4,0.7772431969642639,0.2227568179368972,1.0
111,0.0,1.0,0.00014579653,0.9998542,0.1,0.9,0.1,0.9,0.6861824989318848,0.3138175010681152,2.0
112,0.6,0.4,0.12389368,0.8761064,0.6,0.4,0.6,0.4,0.5379960536956787,0.4620039761066437,2.0
113,0.9,0.1,0.10338057,0.8966194,0.7,0.3,0.7,0.3,0.8073292374610901,0.1926707923412323,2.0
114,0.0,1.0,0.0016754773,0.99832445,0.2,0.8,0.2,0.8,0.657724916934967,0.3422750234603882,2.0
115,0.9,0.1,0.60672987,0.3932701,0.7,0.3,0.7,0.3,0.4940831065177917,0.5059168934822083,2.0
116,0.1,0.9,0.00052013906,0.99947983,0.2,0.8,0.2,0.8,0.4847423136234283,0.5152576565742493,2.0
117,0.2,0.8,0.0026780067,0.997322,0.3,0.7,0.3,0.7,0.023440646007657,0.9765593409538268,2.0
118,0.3,0.7,0.009966816,0.9900332,0.3,0.7,0.3,0.7,0.8793062567710876,0.1206937730312347,2.0
119,0.1,0.9,0.016654065,0.983346,0.3,0.7,0.3,0.7,0.4570436477661133,0.5429563522338867,2.0
120,0.3,0.7,0.0023591274,0.99764085,0.3,0.7,0.3,0.7,0.3405080735683441,0.6594919562339783,2.0
