unit,DeepSurv_p1,DeepSurv_p2,DeepBranched_p1,DeepBranched_p2,NN_joint_ideal_p1,NN_joint_ideal_p2,NN_joint_mis_p1,NN_joint_mis_p2,CMGP_Cox_p1,CMGP_Cox_p2,Actual_Failure_Mode
51,0.94,0.06,0.99999857,1.4778326e-06,0.94,0.06,0.94,0.06,1.0,3.363116314379561e-44,1.0
52,0.86,0.14,0.9999988,1.1963748e-06,0.84,0.16,0.84,0.16,1.0,0.0,1.0
53,0.8529411764705882,0.1470588235294117,0.9999112,8.8796885e-05,0.9117647058823528,0.088235294117647,0.9117647058823528,0.088235294117647,1.0,4.694216126921447e-10,1.0
54,0.1,0.9,0.99982184,0.00017818905,0.18,0.82,0.18,0.82,1.0,6.674824755414921e-12,1.0
55,0.7,0.3,0.9999982,1.7900436e-06,0.76,0.24,0.76,0.24,1.0,7.30554146526666e-27,1.0
56,0.72,0.28,0.99999344,6.5280733e-06,0.76,0.24,0.76,0.24,1.0,6.535928567162837e-16,1.0
57,0.74,0.26,0.99999917,8.812051e-07,0.84,0.16,0.84,0.16,1.0,2.3247447379975404e-26,1.0
58,0.92,0.08,0.9999956,4.440126e-06,0.9,0.1,0.9,0.1,1.0,1.0439632185893937e-32,1.0
59,1.0,0.0,0.99999654,3.4757613e-06,0.98,0.02,0.98,0.02,1.0,0.0,1.0
60,0.94,0.06,0.99999905,9.593152e-07,0.92,0.08,0.92,0.08,1.0,0.0,1.0
111,0.0,1.0,2.354691e-05,0.9999764,0.02,0.98,0.02,0.98,0.0,1.0,2.0
112,0.3,0.7,2.3609335e-05,0.9999764,0.4,0.6,0.4,0.6,0.0,1.0,2.0
113,0.2619047619047619,0.7380952380952381,2.0903806e-05,0.99997914,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,2.398066312162587e-23,1.0,2.0
114,0.0,1.0,2.2408047e-05,0.9999776,0.04,0.96,0.04,0.96,1.9618178500547441e-44,1.0,2.0
115,0.3,0.7,2.5770225e-05,0.99997425,0.32,0.68,0.32,0.68,0.0,1.0,2.0
116,0.02,0.98,2.7849159e-05,0.9999721,0.06,0.94,0.06,0.94,0.0,1.0,2.0
117,0.04,0.96,2.5064925e-05,0.99997497,0.06,0.94,0.06,0.94,0.0,1.0,2.0
118,0.06,0.94,2.5020528e-05,0.99997497,0.08,0.92,0.08,0.92,0.0,1.0,2.0
119,0.02,0.98,1.9999177e-05,0.99998,0.08,0.92,0.08,0.92,0.0,1.0,2.0
120,0.12,0.88,3.032386e-05,0.9999697,0.12,0.88,0.12,0.88,4.105804500471714e-43,1.0,2.0
