Units,CMGP_Cox_p1,CMGP_Cox_p2,CMGP_Cox_p3,Actual_Failure_Mode,DeepSurv_p1,DeepSurv_p2,DeepSurv_p3,DeepBranched_p1,DeepBranched_p2,DeepBranched_p3,NN_joint_p1,NN_joint_p2,NN_joint_p3
11.0,1.0,7.020485127569447e-37,2.8460183099099363e-09,1.0,0.5,0.0,0.5,0.99948704,0.0005129072,1.6662608e-26,0.6,0.2,0.2
12.0,1.0,1.0572376523791447e-40,9.278377177679433e-09,1.0,0.9,0.0,0.1,0.99983037,0.00016958885,4.4603513000000004e-27,0.7,0.3,0.0
13.0,1.0,2.007940613704264e-36,1.1643506471481489e-11,1.0,0.8,0.1,0.1,0.9999994,6.085198e-07,1.9038598000000001e-28,0.6,0.1,0.3
14.0,1.0,5.605193857299268e-45,1.8827918391028928e-10,1.0,0.6,0.0,0.4,1.0,1.8191699e-09,1.9386053e-29,0.3,0.2,0.5
15.0,1.0,4.841119659405525e-35,1.822924744487864e-08,1.0,0.6,0.1,0.3,0.99721366,0.0027863386,1.1432093e-25,0.2,0.3,0.5
16.0,1.0,1.401298464324817e-45,2.6085097623584907e-11,1.0,0.6,0.0,0.4,1.0,2.0089926e-08,4.326886e-29,0.4,0.3,0.3
17.0,1.0,3.837637228626734e-37,1.684618278208205e-10,1.0,0.8,0.1,0.1,0.9999995,4.2938126e-07,1.0833439e-27,0.3,0.3,0.4
18.0,1.0,5.0248979463423247e-39,2.789547204340437e-10,1.0,0.6,0.2,0.2,0.93254095,0.06745905,8.426531e-26,0.6,0.2,0.2
19.0,0.9999998211860656,2.5839335019210377e-30,1.4423363836613134e-07,1.0,0.9,0.1,0.0,0.9999994,6.3695984e-07,6.5012996e-28,0.8,0.2,0.0
20.0,1.0,2.6155936485854873e-40,9.97256235923949e-11,1.0,0.8,0.0,0.2,0.99999964,3.0531376e-07,8.237373e-28,0.5,0.3,0.2
21.0,1.0,3.3779009683032205e-35,3.1930721178241583e-08,1.0,0.5,0.0,0.5,0.9610267,0.03897325,2.5168354e-26,0.4,0.3,0.3
22.0,1.0,0.0,2.30243824006493e-09,1.0,0.8,0.0,0.2,0.9999944,5.567714e-06,1.3866366e-27,0.8,0.2,0.0
23.0,1.0,2.634441112930656e-43,4.797590769101134e-09,1.0,0.9,0.0,0.1,0.9999995,5.1190835e-07,1.0947053e-28,0.7,0.2,0.1
24.0,1.0,7.35681693770529e-43,6.801182447085941e-12,1.0,0.7,0.0,0.3,1.0,5.4237392e-09,6.410696e-29,0.6,0.1,0.3
25.0,0.9999999403953552,2.135663666841864e-33,5.791376267438864e-08,1.0,0.5,0.1,0.4,0.9999268,7.318565e-05,6.4143395e-28,0.3,0.3,0.4
26.0,1.0,4.0674202405566507e-35,6.65262733789973e-10,1.0,0.7,0.1,0.2,0.9999912,8.837603e-06,7.2609687e-28,0.4,0.3,0.3
27.0,1.0,1.794082423875063e-41,2.87692731859579e-08,1.0,0.5,0.2,0.3,0.99999976,2.1565688e-07,1.2839479000000001e-28,0.5,0.3,0.2
28.0,1.0,2.002637674320526e-40,5.126643901065542e-12,1.0,0.6,0.1,0.3,1.0,6.538437e-09,1.7983279e-29,0.6,0.3,0.1
29.0,1.0,2.1140891669891997e-34,3.2246767034394e-08,1.0,0.8,0.2,0.0,0.999716,0.00028398406,5.460834e-26,0.4,0.4,0.2
30.0,1.0,0.0,1.3940675870627306e-12,1.0,0.8,0.1,0.1,0.81599635,0.18400365,3.8160572e-25,0.7,0.2,0.1
41.0,2.7457992750858664e-37,1.0,3.3686417544309677e-10,2.0,0.1,0.7,0.2,0.99992573,7.423556e-05,1.4571413000000001e-26,0.0,0.8,0.2
42.0,5.9094567839232215e-37,1.0,6.116000761391405e-11,2.0,0.1,0.7,0.2,0.9999608,3.923038e-05,2.9342597e-26,0.0,1.0,0.0
43.0,3.54594372502002e-40,1.0,1.3443836321958003e-10,2.0,0.0,0.8,0.2,0.9999982,1.7465392e-06,9.114558000000001e-27,0.0,1.0,0.0
44.0,1.976134132616505e-32,0.9999997615814208,2.594629222585354e-07,2.0,0.0,0.8,0.2,0.9999862,1.3885093e-05,3.3089917000000003e-26,0.0,1.0,0.0
