Units,CMGP_Cox_p1,CMGP_Cox_p2,CMGP_Cox_p3,Actual_Failure_Mode,DeepSurv_p1,DeepSurv_p2,DeepSurv_p3,DeepBranched_p1,DeepBranched_p2,DeepBranched_p3,NN_joint_p1,NN_joint_p2,NN_joint_p3
11.0,1.0,0.0,0.0,1.0,0.9,0.0,0.1,1.0,5.1117983000000006e-27,1.6334056e-34,0.92,0.04,0.04
12.0,1.0,0.0,0.0,1.0,0.98,0.0,0.02,1.0,6.101291e-26,2.4932426e-33,0.94,0.06,0.0
13.0,1.0,0.0,0.0,1.0,0.96,0.02,0.02,1.0,1.8451147000000002e-22,1.5884914000000001e-28,0.9,0.02,0.08
14.0,1.0,0.0,0.0,1.0,0.9,0.0,0.1,1.0,3.3002575000000004e-22,3.5415690000000005e-27,0.84,0.04,0.12
15.0,1.0,0.0,0.0,1.0,0.92,0.02,0.06,1.0,1.7841813e-24,2.7913435e-31,0.84,0.06,0.1
16.0,1.0,0.0,6.533273830221595e-41,1.0,0.92,0.0,0.08,1.0,8.520895499999999e-29,3.07471e-38,0.86,0.06,0.08
17.0,1.0,0.0,9.089704657643288e-40,1.0,0.96,0.02,0.02,1.0,2.0026043e-26,9.945426e-35,0.86,0.06,0.08
18.0,1.0,0.0,0.0,1.0,0.9,0.04,0.06,1.0,4.521264e-25,1.7570568e-31,0.88,0.06,0.06
19.0,1.0,0.0,0.0,1.0,0.98,0.02,0.0,1.0,5.5358505999999995e-25,1.8034844e-32,0.96,0.04,0.0
20.0,1.0,0.0,0.0,1.0,0.96,0.0,0.04,1.0,6.2418554e-27,2.570187e-35,0.9,0.06,0.04
21.0,1.0,0.0,0.0,1.0,0.9,0.0,0.1,1.0,2.860099e-25,2.964315e-32,0.86,0.06,0.08
22.0,1.0,0.0,3.279255870105115e-35,1.0,0.96,0.0,0.04,1.0,3.3042202999999998e-25,8.034087e-32,0.92,0.04,0.04
23.0,1.0,0.0,0.0,1.0,0.98,0.0,0.02,1.0,3.3050432e-23,4.9317954000000004e-30,0.94,0.04,0.02
24.0,1.0,0.0,0.0,1.0,0.94,0.0,0.06,1.0,1.8563219999999998e-26,1.6038236e-35,0.92,0.02,0.06
25.0,1.0,0.0,0.0,1.0,0.9,0.02,0.08,1.0,2.347463e-25,3.446951e-33,0.84,0.06,0.1
26.0,1.0,0.0,0.0,1.0,0.92,0.02,0.06,1.0,1.5626999999999998e-22,2.6618266000000003e-28,0.86,0.06,0.08
27.0,1.0,0.0,0.0,1.0,0.9,0.04,0.06,1.0,4.592033e-22,4.4552915e-27,0.9,0.06,0.04
28.0,1.0,0.0,0.0,1.0,0.9,0.02,0.08,1.0,2.0545852e-22,3.3377105e-28,0.9,0.06,0.04
29.0,1.0,0.0,0.0,1.0,0.96,0.04,0.0,1.0,4.4863849999999995e-26,7.900536e-34,0.88,0.08,0.04
30.0,1.0,0.0,0.0,1.0,0.96,0.02,0.02,1.0,8.364535300000001e-22,6.487058300000001e-28,0.94,0.04,0.02
41.0,0.0,1.0,5.221125252343497e-19,2.0,0.02,0.94,0.04,1.3910799e-33,1.0,5.839736e-32,0.0,0.96,0.04
42.0,0.0,1.0,0.0,2.0,0.02,0.94,0.04,2.5557476e-34,1.0,2.1794046e-32,0.0,1.0,0.0
43.0,0.0,1.0,1.0053372219210502e-18,2.0,0.0,0.96,0.04,5.365710000000001e-34,1.0,3.0407068e-32,0.0,1.0,0.0
44.0,0.0,1.0,0.0,2.0,0.0,0.96,0.04,1.9965562e-33,1.0,1.0270738e-31,0.0,1.0,0.0
45.0,0.0,1.0,8.703436645396531e-16,2.0,0.0,0.98,0.02,2.7726207e-33,1.0,9.721024e-32,0.0,1.0,0.0
46.0,0.0,1.0,0.0,2.0,0.0,0.98,0.02,8.369367e-34,1.0,4.089659e-32,0.0,0.98,0.02
47.0,0.0,1.0,4.8783250628892725e-19,2.0,0.0,1.0,0.0,8.0542715e-34,1.0,2.9994634000000004e-32,0.0,1.0,0.0
48.0,0.0,1.0,2.5863740233430646e-15,2.0,0.0,1.0,0.0,3.1383752e-34,1.0,1.3562826e-32,0.0,1.0,0.0
49.0,0.0,1.0,3.003315191958916e-15,2.0,0.0,0.96,0.04,1.980747e-33,1.0,8.425113e-32,0.0,1.0,0.0
50.0,0.0,1.0,3.4797354244125495e-18,2.0,0.0,0.98,0.02,8.833274999999999e-34,1.0,4.1741396000000004e-32,0.0,0.98,0.02
51.0,0.0,1.0,6.375350848621031e-19,2.0,0.0,0.98,0.02,3.7227478e-35,1.0,2.7724090000000002e-33,0.0,1.0,0.0
52.0,0.0,1.0,7.056364138801599e-17,2.0,0.0,0.98,0.02,1.6445308000000001e-31,1.0,3.0970654000000002e-30,0.0,1.0,0.0
